ParameterClass,Coefficient,Segment 1a,Segment 1b,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10a,Segment 10b,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18
Segmentation,Type,annuity,linear,bullet,bullet,savings,savings,investment,bridge loans,other,Acier,annuity,linear,bullet,bullet,savings,savings,investment,bridge loans,other,Acier
Segmentation,LTV Lower,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Segmentation,LTV Upper,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
Segmentation,Age Lower,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Segmentation,Age Upper,35,35,35,35,35,7,35,35,35,35,35,35,35,35,35,7,35,35,35,35
Segmentation,Float,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Parameter,a_inc,0,0,0.004832,0.0045,0.005636,0.005636,0.00602932,0,0,0.004439957,0,0,0.004832,0.0045,0.005636,0.005636,0.00602932,0,0,0.004439957
Parameter,b_inc,0.013694,0.013694,0.004723,0.003227,0,0,0,0,0.013694,0,0.013694,0.013694,0.004723,0.003227,0,0,0,0,0.013694,0
Parameter,c_inc,0.943517,0.943517,3.413258,11.25203,0,0,0,0,0.943517,0,0.943517,0.943517,3.413258,11.25203,0,0,0,0,0.943517,0
Parameter,d_inc,-78.4868,-78.4868,-169.617,-626.9643,0,0,0,0,-78.4868,0,-78.4868,-78.4868,-169.617,-626.9643,0,0,0,0,-78.4868,0
Parameter,e_age,1,1,1,0.410941,1,1,1,1,1,1,1,1,1,0.410941,1,1,1,1,1,1
Parameter,f_age,1,1,1,0.060859,1,1,1,1,1,1,1,1,1,0.060859,1,1,1,1,1,1
Parameter,season_jan,0.119864,0.119864,0.463008,0.066232,-0.070181,-0.070181,0,0,0.119864,0,0.119864,0.119864,0.463008,0.066232,-0.070181,-0.070181,0,0,0.119864,0
Parameter,season_feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_may,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parameter,season_nov,0.117296,0.117296,0.206397,0.119221,0.029973,0.029973,0,0,0.117296,0,0.117296,0.117296,0.206397,0.119221,0.029973,0.029973,0,0,0.117296,0
Parameter,season_dec,0.352539,0.352539,0.667333,0.6171,0.352601,0.352601,0,0,0.352539,0,0.352539,0.352539,0.667333,0.6171,0.352601,0.352601,0,0,0.352539,0
